sample,fastq_1,fastq_2,condition
R0_1,Fastq/R0_1_R1.fq.gz,Fastq/R0_1_R2.fq.gz,R0
R0_2,Fastq/R0_2_R1.fq.gz,Fastq/R0_2_R2.fq.gz,R0
R0_3,Fastq/R0_3_R1.fq.gz,Fastq/R0_3_R2.fq.gz,R0
Rpost_1,Fastq/Rpost_1_R1.fq.gz,Fastq/Rpost_1_R2.fq.gz,Rpost
Rpost_2,Fastq/Rpost_2_R1.fq.gz,Fastq/Rpost_2_R2.fq.gz,Rpost
Rpost_3,Fastq/Rpost_3_R1.fq.gz,Fastq/Rpost_3_R2.fq.gz,Rpost
Rpost_4,Fastq/Rpost_4_R1.fq.gz,Fastq/Rpost_4_R2.fq.gz,Rpost
S0_1,Fastq/S0_1_R1.fq.gz,Fastq/S0_1_R2.fq.gz,S0
S0_2,Fastq/S0_2_R1.fq.gz,Fastq/S0_2_R2.fq.gz,S0
S0_3,Fastq/S0_3_R1.fq.gz,Fastq/S0_3_R2.fq.gz,S0
Spost_1,Fastq/Spost_1_R1.fq.gz,Fastq/Spost_1_R2.fq.gz,Spost
Spost_2,Fastq/Spost_2_R1.fq.gz,Fastq/Spost_2_R2.fq.gz,Spost
Spost_3,Fastq/Spost_3_R1.fq.gz,Fastq/Spost_3_R2.fq.gz,Spost
